127.0.0.1 - - [13/Sep/2017:14:23:50 +0900] "GET / HTTP/1.1" 200 10378
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:23:58 +0900] "GET /citizenrep/list.jsp?p=1 HTTP/1.1" 200 4943
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:23:59 +0900] "GET /citizenrep/list.jsp?p=1 HTTP/1.1" 200 4943
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:23:59 +0900] "GET /citizenrep/list.jsp?p=1 HTTP/1.1" 200 4943
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:27:13 +0900] "GET /citizenrep/list.jsp?p=1 HTTP/1.1" 200 4943
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:27:13 +0900] "GET /favicon.ico HTTP/1.1" 200 27942
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:27:22 +0900] "GET /citizenrep/detail.jsp?bno=1 HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:27:22 +0900] "GET /citizenrep/ctrepimg/1505278953723_%EF%BF%BD%EB%93%85%EF%A7%8D%EB%9A%AE%E2%94%81.jpg HTTP/1.1" 404 1153
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:27:27 +0900] "GET /profile/userLogin.jsp?returnURL=/citizenrep/detail.jsp?bno=1 HTTP/1.1" 200 4230
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:27:29 +0900] "GET /citizenrep/list.jsp HTTP/1.1" 200 4939
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:27:32 +0900] "GET /citizenrep/detail.jsp?bno=1 HTTP/1.1" 200 6035
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:27:32 +0900] "GET /citizenrep/ctrepimg/1505278953723_%EF%BF%BD%EB%93%85%EF%A7%8D%EB%9A%AE%E2%94%81.jpg HTTP/1.1" 404 1153
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:37:39 +0900] "GET /citizenrep/detail.jsp?bno=1 HTTP/1.1" 200 6087
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:37:39 +0900] "GET /citizenrep/ctrepimg/1505278953723_%EF%BF%BD%EB%93%85%EF%A7%8D%EB%9A%AE%E2%94%81.jpg HTTP/1.1" 404 1153
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:37:39 +0900] "GET /favicon.ico HTTP/1.1" 200 27942
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:37:41 +0900] "GET /citizenrep/list.jsp HTTP/1.1" 500 2916
0:0:0:0:0:0:0:1 - - [13/Sep/2017:14:37:54 +0900] "GET /citizenrep/list.jsp HTTP/1.1" 500 2916
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:11 +0900] "GET /citizenrep/list.jsp HTTP/1.1" 500 2916
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:25 +0900] "GET /citizenrep/list.jsp HTTP/1.1" 500 3101
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:25 +0900] "GET /favicon.ico HTTP/1.1" 200 27942
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:25 +0900] "GET /citizenrep/detail.jsp?bno=1 HTTP/1.1" 200 6087
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:26 +0900] "GET /citizenrep/ctrepimg/1505278953723_%EF%BF%BD%EB%93%85%EF%A7%8D%EB%9A%AE%E2%94%81.jpg HTTP/1.1" 404 1153
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:26 +0900] "GET /favicon.ico HTTP/1.1" 200 27942
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:27 +0900] "GET /citizenrep/list.jsp HTTP/1.1" 500 2897
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:39 +0900] "GET /citizenrep/list.jsp HTTP/1.1" 200 4905
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:39 +0900] "GET /favicon.ico HTTP/1.1" 200 27942
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:40 +0900] "GET /news/entertainment.jsp HTTP/1.1" 200 7875
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:40 +0900] "GET /imgdata/1505260997900_%EB%AC%B8%EC%B1%84%EC%9B%90%ED%99%94%EB%B3%B4.jpg HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:40 +0900] "GET /img/%EB%A1%AF%EB%8D%B0%EB%A6%AC%EC%95%84.png HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:40 +0900] "GET /img/%EB%8B%B4%EB%B0%B0%EA%B4%91%EA%B3%A0.jpeg HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:41 +0900] "GET /citizenrep/list.jsp HTTP/1.1" 200 4905
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:42 +0900] "GET /citizenrep/detail.jsp?bno=1 HTTP/1.1" 200 6087
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:42 +0900] "GET /citizenrep/ctrepimg/1505278953723_%EF%BF%BD%EB%93%85%EF%A7%8D%EB%9A%AE%E2%94%81.jpg HTTP/1.1" 404 1153
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:45 +0900] "GET /citizenrep/detail.jsp?bno=82 HTTP/1.1" 200 5088
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:53:45 +0900] "GET /citizenrep/ctrepimg/1505282288785_Tulips.jpg HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [13/Sep/2017:15:54:51 +0900] "GET /imgdata/1505260997900_%EB%AC%B8%EC%B1%84%EC%9B%90%ED%99%94%EB%B3%B4.jpg HTTP/1.1" 404 1141
